"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMalloc","7","384986600","54998085","99.6308664372506"
"hipMemcpy","6","800350","133391","0.207122959482365"
"hipLaunchKernel","5","524740","104948","0.135797715697853"
"hipFree","7","39230","5604","0.0101523504722849"
"hipEventRecord","2","17020","8510","0.00440461394438665"
"__hipPushCallConfiguration","5","8190","1638","0.00211949401906737"
"__hipPopCallConfiguration","5","8130","1626","0.00210396659035626"
"hipEventSynchronize","1","8070","8070","0.00208843916164514"
"hipEventCreate","2","6820","3410","0.00176495106349688"
"hipEventElapsedTime","1","4970","4970","0.00128618867823747"
"hipDeviceSynchronize","1","4870","4870","0.0012603096303856"
"hipEventDestroy","2","3990","1995","0.00103257400928923"
"Total","44","386412980","8782113","100.0"
